kontrak_id,outlet_id,kota,instansi,tahun,nilai_rupiah,jenis_kontrak,sumber_url,sumber_jenis,tingkat_keyakinan,diisi_oleh,tanggal_isi,source_url,archive_url,retrieved_at,first_seen,last_checked,fiktif
MKS-KTR-F01,harian-losari.example,Makassar,Diskominfo Kota Makassar,2019,328000000,kerja sama tahunan,https://lpse.example/makassar/2019/harian-losari.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2019/harian-losari.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F02,harian-losari.example,Makassar,Diskominfo Kota Makassar,2020,343000000,kerja sama tahunan,https://lpse.example/makassar/2020/harian-losari.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2020/harian-losari.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F03,harian-losari.example,Makassar,Diskominfo Kota Makassar,2021,380000000,kerja sama tahunan,https://lpse.example/makassar/2021/harian-losari.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2021/harian-losari.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F04,harian-losari.example,Makassar,Diskominfo Kota Makassar,2022,407000000,kerja sama tahunan,https://lpse.example/makassar/2022/harian-losari.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2022/harian-losari.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F05,harian-losari.example,Makassar,Diskominfo Kota Makassar,2023,383000000,kerja sama tahunan,https://lpse.example/makassar/2023/harian-losari.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2023/harian-losari.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F06,harian-losari.example,Makassar,Diskominfo Kota Makassar,2024,383000000,kerja sama tahunan,https://lpse.example/makassar/2024/harian-losari.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2024/harian-losari.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F07,harian-losari.example,Makassar,Diskominfo Kota Makassar,2025,403000000,kerja sama tahunan,https://lpse.example/makassar/2025/harian-losari.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2025/harian-losari.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F08,suara-tamalanrea.example,Makassar,Diskominfo Kota Makassar,2019,378000000,kerja sama tahunan,https://lpse.example/makassar/2019/suara-tamalanrea.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2019/suara-tamalanrea.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F09,suara-tamalanrea.example,Makassar,Diskominfo Kota Makassar,2020,411000000,kerja sama tahunan,https://lpse.example/makassar/2020/suara-tamalanrea.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2020/suara-tamalanrea.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F10,suara-tamalanrea.example,Makassar,Diskominfo Kota Makassar,2021,329000000,kerja sama tahunan,https://lpse.example/makassar/2021/suara-tamalanrea.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2021/suara-tamalanrea.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F11,suara-tamalanrea.example,Makassar,Diskominfo Kota Makassar,2022,341000000,kerja sama tahunan,https://lpse.example/makassar/2022/suara-tamalanrea.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2022/suara-tamalanrea.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F12,suara-tamalanrea.example,Makassar,Diskominfo Kota Makassar,2023,451000000,kerja sama tahunan,https://lpse.example/makassar/2023/suara-tamalanrea.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2023/suara-tamalanrea.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F13,suara-tamalanrea.example,Makassar,Diskominfo Kota Makassar,2024,419000000,kerja sama tahunan,https://lpse.example/makassar/2024/suara-tamalanrea.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2024/suara-tamalanrea.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F14,suara-tamalanrea.example,Makassar,Diskominfo Kota Makassar,2025,382000000,kerja sama tahunan,https://lpse.example/makassar/2025/suara-tamalanrea.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2025/suara-tamalanrea.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F15,sulsel-kini.example,Makassar,Diskominfo Kota Makassar,2019,109000000,per rilis,https://lpse.example/makassar/2019/sulsel-kini.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2019/sulsel-kini.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F16,sulsel-kini.example,Makassar,Diskominfo Kota Makassar,2020,224000000,per rilis,https://lpse.example/makassar/2020/sulsel-kini.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2020/sulsel-kini.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F17,sulsel-kini.example,Makassar,Diskominfo Kota Makassar,2021,103000000,per rilis,https://lpse.example/makassar/2021/sulsel-kini.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2021/sulsel-kini.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F18,sulsel-kini.example,Makassar,Diskominfo Kota Makassar,2022,119000000,per rilis,https://lpse.example/makassar/2022/sulsel-kini.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2022/sulsel-kini.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F19,sulsel-kini.example,Makassar,Diskominfo Kota Makassar,2023,95000000,per rilis,https://lpse.example/makassar/2023/sulsel-kini.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2023/sulsel-kini.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F20,sulsel-kini.example,Makassar,Diskominfo Kota Makassar,2024,129000000,per rilis,https://lpse.example/makassar/2024/sulsel-kini.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2024/sulsel-kini.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
MKS-KTR-F21,sulsel-kini.example,Makassar,Diskominfo Kota Makassar,2025,140000000,per rilis,https://lpse.example/makassar/2025/sulsel-kini.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/makassar/2025/sulsel-kini.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
KPG-KTR-F22,timor-pagi.example,Kupang,Diskominfo Kota Kupang,2019,398000000,kerja sama tahunan,https://lpse.example/kupang/2019/timor-pagi.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/kupang/2019/timor-pagi.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
KPG-KTR-F23,timor-pagi.example,Kupang,Diskominfo Kota Kupang,2020,372000000,kerja sama tahunan,https://lpse.example/kupang/2020/timor-pagi.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/kupang/2020/timor-pagi.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
KPG-KTR-F24,timor-pagi.example,Kupang,Diskominfo Kota Kupang,2021,430000000,kerja sama tahunan,https://lpse.example/kupang/2021/timor-pagi.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/kupang/2021/timor-pagi.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
KPG-KTR-F25,timor-pagi.example,Kupang,Diskominfo Kota Kupang,2022,399000000,kerja sama tahunan,https://lpse.example/kupang/2022/timor-pagi.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/kupang/2022/timor-pagi.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
KPG-KTR-F26,timor-pagi.example,Kupang,Diskominfo Kota Kupang,2023,412000000,kerja sama tahunan,https://lpse.example/kupang/2023/timor-pagi.example,LPSE,tinggi,fixture,2026-09-09,https://lpse.example/kupang/2023/timor-pagi.example,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
