outlet_id,nama_outlet,kota,jenis,dewan_pers,pemilik_terdaftar,sumber_kepemilikan_url,url_beranda,aktif,catatan,diisi_oleh,tanggal_isi,source_url,archive_url,retrieved_at,first_seen,last_checked,fiktif
makassar.tribunnews.com,Tribun Timur,Makassar,online,tidak diketahui,,,https://makassar.tribunnews.com,ya,fakta publik dari uji recall arsip 2026-09-09: bukan WordPress; Wayback ≥20 000 halaman/tahun 2014–2017,Odri (probe),2026-09-09,https://makassar.tribunnews.com,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,False
fajar.co.id,Harian Fajar,Makassar,online,tidak diketahui,,,https://fajar.co.id,ya,"fakta publik dari uji recall arsip 2026-09-09: WP JSON aktif, arsip situs mulai 2017-03; Wayback 2014–2016 ada",Odri (probe),2026-09-09,https://fajar.co.id,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,False
rakyatsulsel.co,Rakyat Sulsel,Makassar,online,tidak diketahui,,,https://rakyatsulsel.co,ya,fakta publik dari uji recall arsip 2026-09-09: domain lama rakyatsulsel.com; arsip 2014–2017 hanya di domain lama,Odri (probe),2026-09-09,https://rakyatsulsel.co,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,False
beritakotamakassar.com,Berita Kota Makassar,Makassar,online,tidak diketahui,,,https://beritakotamakassar.com,tidak diketahui,"fakta publik dari uji recall arsip 2026-09-09: Wayback 2014 tebal (13 994), menyusut ke 6 halaman pada 2017",Odri (probe),2026-09-09,https://beritakotamakassar.com,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,False
makassar.antaranews.com,Antara Sulsel,Makassar,online,tidak diketahui,,,https://makassar.antaranews.com,ya,fakta publik dari uji recall arsip 2026-09-09: bukan WordPress; domain lama antarasulsel.com,Odri (probe),2026-09-09,https://makassar.antaranews.com,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,False
kabarmakassar.com,Kabar Makassar,Makassar,online,tidak diketahui,,,https://kabarmakassar.com,ya,fakta publik dari uji recall arsip 2026-09-09: WP JSON aktif; 67 499 pos tetapi sebelum 2017 nyaris kosong — migrasi situs,Odri (probe),2026-09-09,https://kabarmakassar.com,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,False
upeks.co.id,Ujung Pandang Ekspres,Makassar,online,tidak diketahui,,,https://upeks.co.id,ya,fakta publik dari uji recall arsip 2026-09-09: WP JSON aktif mulai 2019; memblokir probe (403) setelah ±8 permintaan,Odri (probe),2026-09-09,https://upeks.co.id,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,False
gosulsel.com,Gosulsel,Makassar,online,tidak diketahui,,,https://gosulsel.com,ya,fakta publik dari uji recall arsip 2026-09-09: situs di-reset: pos aktif mulai 2025-01; Wayback 2016–2017 >10 000 halaman,Odri (probe),2026-09-09,https://gosulsel.com,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,False
inikata.com,Inikata,Makassar,online,tidak diketahui,,,https://inikata.com,tidak diketahui,fakta publik dari uji recall arsip 2026-09-09: TLS rusak saat probe; Wayback 2016–2017 ada,Odri (probe),2026-09-09,https://inikata.com,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,False
sulselsatu.com,Sulsel Satu,Makassar,online,tidak diketahui,,,https://sulselsatu.com,ya,fakta publik dari uji recall arsip 2026-09-09: WP JSON aktif mulai 2015-08,Odri (probe),2026-09-09,https://sulselsatu.com,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,False
makassar.terkini.id,Terkini.id Makassar,Makassar,online,tidak diketahui,,,https://makassar.terkini.id,ya,fakta publik dari uji recall arsip 2026-09-09: WP JSON aktif mulai 2019-01,Odri (probe),2026-09-09,https://makassar.terkini.id,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,False
harian-losari.example,Harian Losari,Makassar,online,terverifikasi,PT Harian Losari Media (FIKTIF),https://harian-losari.example/fixture/ahu,https://harian-losari.example,ya,FIKTIF — profil fixture: kontrak,fixture,2026-09-09,https://harian-losari.example/fixture,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
suara-tamalanrea.example,Suara Tamalanrea,Makassar,online,terverifikasi,PT Suara Tamalanrea Media (FIKTIF),https://suara-tamalanrea.example/fixture/ahu,https://suara-tamalanrea.example,ya,FIKTIF — profil fixture: kontrak,fixture,2026-09-09,https://suara-tamalanrea.example/fixture,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
sulsel-kini.example,Sulsel Kini,Makassar,online,terverifikasi,PT Sulsel Kini Media (FIKTIF),https://sulsel-kini.example/fixture/ahu,https://sulsel-kini.example,ya,FIKTIF — profil fixture: campuran,fixture,2026-09-09,https://sulsel-kini.example/fixture,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
kabar-pelabuhan.example,Kabar Pelabuhan,Makassar,online,terdaftar,PT Kabar Pelabuhan Media (FIKTIF),https://kabar-pelabuhan.example/fixture/ahu,https://kabar-pelabuhan.example,ya,FIKTIF — profil fixture: independen,fixture,2026-09-09,https://kabar-pelabuhan.example/fixture,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
timor-pagi.example,Timor Pagi,Kupang,online,terverifikasi,PT Timor Pagi Media (FIKTIF),https://timor-pagi.example/fixture/ahu,https://timor-pagi.example,ya,FIKTIF — profil fixture: kontrak,fixture,2026-09-09,https://timor-pagi.example/fixture,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
kupang-kini.example,Kupang Kini,Kupang,online,terdaftar,PT Kupang Kini Media (FIKTIF),https://kupang-kini.example/fixture/ahu,https://kupang-kini.example,ya,FIKTIF — profil fixture: independen,fixture,2026-09-09,https://kupang-kini.example/fixture,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True
